video,scenario,metric,color_space,window,precision,recall,f1,tp,fp,fn,tn,threshold
lighting\lighting.mp4,lighting,HISTCMP_INTERSECT,RGB,3,0.23809523809523808,0.9090909090909091,0.37735849056603776,10,32,1,7,-3.951082482628408
lighting\lighting.mp4,lighting,HISTCMP_INTERSECT,RGB,5,0.2777777777777778,0.9090909090909091,0.425531914893617,10,26,1,13,-3.951082482628408
normal-change\normal-change.mp4,normal-change,HISTCMP_CORREL,GRAY,1,0.3235294117647059,1.0,0.4888888888888889,11,23,0,16,1.6907035349511546e-07
normal-change\normal-change.mp4,normal-change,HISTCMP_CORREL,GRAY,3,0.6111111111111112,1.0,0.7586206896551724,11,7,0,32,1.6907035349511546e-07
normal-change\normal-change.mp4,normal-change,HISTCMP_CORREL,GRAY,5,0.8461538461538461,1.0,0.9166666666666666,11,2,0,37,1.6907035349511546e-07
normal-change\normal-change.mp4,normal-change,HISTCMP_CORREL,HSV,1,0.45454545454545453,0.9090909090909091,0.6060606060606061,10,12,1,27,1.018028676580407e-06
normal-change\normal-change.mp4,normal-change,HISTCMP_CORREL,HSV,3,0.8,0.7272727272727273,0.7619047619047619,8,2,3,37,1.018028676580407e-06
normal-change\normal-change.mp4,normal-change,HISTCMP_CORREL,HSV,5,1.0,0.5454545454545454,0.7058823529411765,6,0,5,39,1.018028676580407e-06
normal-change\normal-change.mp4,normal-change,HISTCMP_CORREL,RGB,1,0.4117647058823529,0.6363636363636364,0.5,7,10,4,29,7.099203436222723e-07
normal-change\normal-change.mp4,normal-change,HISTCMP_CORREL,RGB,3,0.5714285714285714,0.7272727272727273,0.64,8,6,3,33,4.741773050875864e-07
normal-change\normal-change.mp4,normal-change,HISTCMP_CORREL,RGB,5,0.6875,1.0,0.8148148148148148,11,5,0,34,3.757269575466182e-07
normal-change\normal-change.mp4,normal-change,HISTCMP_CHISQR,GRAY,1,0.5454545454545454,0.5454545454545454,0.5454545454545454,6,5,5,34,0.0009594577357874986
normal-change\normal-change.mp4,normal-change,HISTCMP_CHISQR,GRAY,3,0.3888888888888889,0.6363636363636364,0.4827586206896552,7,11,4,28,0.000539813989596912
normal-change\normal-change.mp4,normal-change,HISTCMP_CHISQR,GRAY,5,1.0,0.36363636363636365,0.5333333333333333,4,0,7,39,0.0005516894897711713
